gaussian_x,gaussian_y,std_x,std_y,rotation,amplitude
0.040816,0.163265,0.020000,0.020000,0.0,0.075324
0.061224,0.163265,0.020000,0.020000,0.0,0.072603
0.081633,0.163265,0.020000,0.020000,0.0,0.071877
0.102041,0.163265,0.020000,0.020000,0.0,0.073509
0.122449,0.163265,0.020000,0.020000,0.0,0.078076
0.142857,0.163265,0.020000,0.020000,0.0,0.086617
0.163265,0.163265,0.020000,0.020000,0.0,0.101407
0.183673,0.163265,0.020000,0.020000,0.0,0.130626
0.204082,0.163265,0.020000,0.020000,0.0,0.166184
0.224490,0.163265,0.020000,0.020000,0.0,0.166184
0.244898,0.163265,0.020000,0.020000,0.0,0.166184
0.265306,0.163265,0.020000,0.020000,0.0,0.166184
0.285714,0.163265,0.020000,0.020000,0.0,0.166184
0.306122,0.163265,0.020000,0.020000,0.0,0.166184
0.326531,0.163265,0.020000,0.020000,0.0,0.166184
0.346939,0.163265,0.020000,0.020000,0.0,0.166184
0.367347,0.163265,0.020000,0.020000,0.0,0.166184
0.387755,0.163265,0.020000,0.020000,0.0,0.166184
0.408163,0.163265,0.020000,0.020000,0.0,0.166184
0.428571,0.163265,0.020000,0.020000,0.0,0.166184
0.448980,0.163265,0.020000,0.020000,0.0,0.166184
0.469388,0.163265,0.020000,0.020000,0.0,0.166184
0.489796,0.163265,0.020000,0.020000,0.0,0.166184
0.510204,0.163265,0.020000,0.020000,0.0,0.166184
0.530612,0.163265,0.020000,0.020000,0.0,0.166184
0.551020,0.163265,0.020000,0.020000,0.0,0.166184
0.571429,0.163265,0.020000,0.020000,0.0,0.166184
0.591837,0.163265,0.020000,0.020000,0.0,0.166184
0.612245,0.163265,0.020000,0.020000,0.0,0.166184
0.632653,0.163265,0.020000,0.020000,0.0,0.166184
0.653061,0.163265,0.020000,0.020000,0.0,0.166184
0.673469,0.163265,0.020000,0.020000,0.0,0.166184
0.693878,0.163265,0.020000,0.020000,0.0,0.166184
0.714286,0.163265,0.020000,0.020000,0.0,0.166184
0.734694,0.163265,0.020000,0.020000,0.0,0.166184
0.755102,0.163265,0.020000,0.020000,0.0,0.166184
0.775510,0.163265,0.020000,0.020000,0.0,0.166184
0.795918,0.163265,0.020000,0.020000,0.0,0.166184
0.816327,0.163265,0.020000,0.020000,0.0,0.166184
0.836735,0.163265,0.020000,0.020000,0.0,0.166184
0.857143,0.163265,0.020000,0.020000,0.0,0.166184
0.877551,0.163265,0.020000,0.020000,0.0,0.166184
0.897959,0.163265,0.020000,0.020000,0.0,0.166184
0.918367,0.163265,0.020000,0.020000,0.0,0.166184
0.938776,0.163265,0.020000,0.020000,0.0,0.166184
0.959184,0.163265,0.020000,0.020000,0.0,0.166184
0.979592,0.163265,0.020000,0.020000,0.0,0.166184
1.000000,0.163265,0.020000,0.020000,0.0,0.166184
0.000000,0.183673,0.020000,0.020000,0.0,0.073194
0.020408,0.183673,0.020000,0.020000,0.0,0.066282
0.040816,0.183673,0.020000,0.020000,0.0,0.060891
0.061224,0.183673,0.020000,0.020000,0.0,0.057197
0.081633,0.183673,0.020000,0.020000,0.0,0.055356
0.102041,0.183673,0.020000,0.020000,0.0,0.055567
0.122449,0.183673,0.020000,0.020000,0.0,0.058159
0.142857,0.183673,0.020000,0.020000,0.0,0.063712
0.163265,0.183673,0.020000,0.020000,0.0,0.073307
0.183673,0.183673,0.020000,0.020000,0.0,0.089165
0.204082,0.183673,0.020000,0.020000,0.0,0.118129
0.224490,0.183673,0.020000,0.020000,0.0,0.166184
0.244898,0.183673,0.020000,0.020000,0.0,0.166184
0.265306,0.183673,0.020000,0.020000,0.0,0.166184
0.285714,0.183673,0.020000,0.020000,0.0,0.166184
0.306122,0.183673,0.020000,0.020000,0.0,0.166184
0.326531,0.183673,0.020000,0.020000,0.0,0.166184
0.346939,0.183673,0.020000,0.020000,0.0,0.166184
0.367347,0.183673,0.020000,0.020000,0.0,0.166184
0.387755,0.183673,0.020000,0.020000,0.0,0.166184
0.408163,0.183673,0.020000,0.020000,0.0,0.166184
0.428571,0.183673,0.020000,0.020000,0.0,0.166184
0.448980,0.183673,0.020000,0.020000,0.0,0.166184
0.469388,0.183673,0.020000,0.020000,0.0,0.166184
0.489796,0.183673,0.020000,0.020000,0.0,0.166184
0.510204,0.183673,0.020000,0.020000,0.0,0.166184
0.530612,0.183673,0.020000,0.020000,0.0,0.166184
0.551020,0.183673,0.020000,0.020000,0.0,0.166184
